campaign_id,customer_id,program,channel,sent_at,opened,clicked,redeemed,revenue
CMP-00001,GST-01135,Summer Stay Drop,email,2026-04-27T00:00:00.000Z,true,false,false,0
CMP-00002,GST-01405,Platinum Exclusive,sms,2025-03-16T00:00:00.000Z,true,true,true,161.49
CMP-00003,GST-01907,Tier Upgrade Nudge,email,2025-10-01T00:00:00.000Z,false,false,false,0
CMP-00004,GST-00652,Spa + Stay Package,email,2025-04-16T00:00:00.000Z,true,false,false,0
CMP-00005,GST-01054,Resort Weekender,sms,2026-01-24T01:00:00.000Z,true,false,false,0
CMP-00006,GST-01564,Welcome Series,email,2026-01-30T01:00:00.000Z,false,false,false,0
CMP-00007,GST-01260,Reactivation 60d,email,2026-04-17T00:00:00.000Z,false,false,false,0
CMP-00008,GST-00345,Tier Upgrade Nudge,sms,2025-02-01T01:00:00.000Z,false,false,false,0
CMP-00009,GST-01943,Birthday Reward,email,2025-02-18T01:00:00.000Z,false,false,false,0
CMP-00010,GST-01558,Summer Stay Drop,sms,2025-07-27T00:00:00.000Z,false,false,false,0
CMP-00011,GST-00561,Resort Weekender,email,2025-11-23T01:00:00.000Z,false,false,false,0
CMP-00012,GST-01209,Welcome Series,email,2025-10-25T00:00:00.000Z,true,true,true,262.06
CMP-00013,GST-01382,Platinum Exclusive,email,2025-12-25T01:00:00.000Z,false,false,false,0
CMP-00014,GST-00761,Birthday Reward,email,2025-04-18T00:00:00.000Z,true,false,false,0
CMP-00015,GST-01084,Birthday Reward,sms,2026-01-14T01:00:00.000Z,false,false,false,0
CMP-00016,GST-00075,Tier Upgrade Nudge,email,2026-03-08T01:00:00.000Z,false,false,false,0
CMP-00017,GST-00718,Dining Bundle,sms,2025-01-31T01:00:00.000Z,true,false,false,0
CMP-00018,GST-02294,Platinum Exclusive,sms,2024-11-27T01:00:00.000Z,true,false,false,0
CMP-00019,GST-00122,Tier Upgrade Nudge,sms,2025-08-06T00:00:00.000Z,false,false,false,0
CMP-00020,GST-01524,Dining Bundle,sms,2025-03-27T00:00:00.000Z,false,false,false,0
CMP-00021,GST-00408,Resort Weekender,email,2025-02-15T01:00:00.000Z,false,false,false,0
CMP-00022,GST-01828,Spa + Stay Package,sms,2025-11-12T01:00:00.000Z,true,false,false,0
CMP-00023,GST-00473,Summer Stay Drop,sms,2025-06-11T00:00:00.000Z,true,true,false,0
CMP-00024,GST-02101,Reactivation 60d,email,2026-05-12T00:00:00.000Z,false,false,false,0
CMP-00025,GST-01736,Reactivation 30d,email,2025-12-12T01:00:00.000Z,false,false,false,0
CMP-00026,GST-00774,Reactivation 60d,email,2025-02-17T01:00:00.000Z,false,false,false,0
CMP-00027,GST-00513,Platinum Exclusive,sms,2025-11-21T01:00:00.000Z,true,false,false,0
CMP-00028,GST-01622,Reactivation 30d,push,2024-11-25T01:00:00.000Z,true,true,true,374.84
CMP-00029,GST-00011,Tier Upgrade Nudge,sms,2025-06-28T00:00:00.000Z,true,false,false,0
CMP-00030,GST-01513,Birthday Reward,email,2025-11-05T01:00:00.000Z,false,false,false,0
CMP-00031,GST-00393,Tier Upgrade Nudge,email,2025-11-25T01:00:00.000Z,false,false,false,0
CMP-00032,GST-00609,Reactivation 60d,push,2024-12-04T01:00:00.000Z,false,false,false,0
CMP-00033,GST-01638,Resort Weekender,email,2024-11-25T01:00:00.000Z,false,false,false,0
CMP-00034,GST-00778,Reactivation 30d,email,2025-12-15T01:00:00.000Z,false,false,false,0
CMP-00035,GST-01676,Reactivation 30d,sms,2025-10-19T00:00:00.000Z,true,false,false,0
CMP-00036,GST-01105,Dining Bundle,sms,2025-09-19T00:00:00.000Z,true,false,false,0
CMP-00037,GST-01972,Platinum Exclusive,email,2024-12-11T01:00:00.000Z,true,false,false,0
CMP-00038,GST-00708,Dining Bundle,email,2024-12-12T01:00:00.000Z,true,true,true,425
CMP-00039,GST-01401,Spa + Stay Package,push,2025-10-09T00:00:00.000Z,true,false,false,0
CMP-00040,GST-00571,Reactivation 30d,sms,2025-03-24T00:00:00.000Z,true,true,false,0
CMP-00041,GST-00345,Tier Upgrade Nudge,email,2025-02-16T01:00:00.000Z,true,false,false,0
CMP-00042,GST-02120,Reactivation 60d,push,2025-02-05T01:00:00.000Z,false,false,false,0
CMP-00043,GST-00409,Reactivation 30d,push,2025-07-10T00:00:00.000Z,true,false,false,0
CMP-00044,GST-00072,Spa + Stay Package,email,2024-12-29T01:00:00.000Z,false,false,false,0
CMP-00045,GST-02296,Reactivation 60d,email,2025-04-02T00:00:00.000Z,true,false,false,0
CMP-00046,GST-01370,Reactivation 30d,email,2025-02-24T01:00:00.000Z,false,false,false,0
CMP-00047,GST-02217,Summer Stay Drop,sms,2025-02-14T01:00:00.000Z,true,false,false,0
CMP-00048,GST-00548,Reactivation 60d,email,2026-02-04T01:00:00.000Z,true,true,true,279.29
CMP-00049,GST-01366,Summer Stay Drop,push,2026-03-08T01:00:00.000Z,false,false,false,0
CMP-00050,GST-00328,Reactivation 60d,sms,2025-11-10T01:00:00.000Z,false,false,false,0
CMP-00051,GST-01565,Reactivation 60d,sms,2025-04-16T00:00:00.000Z,true,false,false,0
CMP-00052,GST-02189,Spa + Stay Package,email,2024-12-07T01:00:00.000Z,false,false,false,0
CMP-00053,GST-01156,Reactivation 30d,push,2025-06-23T00:00:00.000Z,true,false,false,0
CMP-00054,GST-00678,Resort Weekender,email,2025-05-23T00:00:00.000Z,false,false,false,0
CMP-00055,GST-01920,Spa + Stay Package,sms,2025-11-10T01:00:00.000Z,false,false,false,0
CMP-00056,GST-01933,Birthday Reward,sms,2025-12-14T01:00:00.000Z,false,false,false,0
CMP-00057,GST-01196,Dining Bundle,sms,2025-05-18T00:00:00.000Z,true,false,false,0
CMP-00058,GST-00154,Reactivation 30d,sms,2025-06-14T00:00:00.000Z,false,false,false,0
CMP-00059,GST-00527,Reactivation 30d,email,2026-01-26T01:00:00.000Z,false,false,false,0
CMP-00060,GST-00636,Welcome Series,email,2025-07-20T00:00:00.000Z,true,false,false,0
CMP-00061,GST-01730,Spa + Stay Package,sms,2025-08-04T00:00:00.000Z,false,false,false,0
CMP-00062,GST-00736,Welcome Series,email,2025-09-27T00:00:00.000Z,false,false,false,0
CMP-00063,GST-02190,Resort Weekender,email,2025-03-13T00:00:00.000Z,false,false,false,0
CMP-00064,GST-01662,Dining Bundle,push,2025-12-23T01:00:00.000Z,false,false,false,0
CMP-00065,GST-00989,Platinum Exclusive,sms,2025-10-14T00:00:00.000Z,true,false,false,0
CMP-00066,GST-01446,Summer Stay Drop,email,2025-12-02T01:00:00.000Z,true,true,false,0
CMP-00067,GST-02042,Spa + Stay Package,push,2025-07-09T00:00:00.000Z,true,false,false,0
CMP-00068,GST-00864,Summer Stay Drop,sms,2025-11-28T01:00:00.000Z,true,false,false,0
CMP-00069,GST-02240,Summer Stay Drop,email,2025-06-04T00:00:00.000Z,false,false,false,0
CMP-00070,GST-01845,Summer Stay Drop,push,2026-04-14T00:00:00.000Z,true,false,false,0
CMP-00071,GST-00901,Dining Bundle,email,2026-02-25T01:00:00.000Z,true,false,false,0
CMP-00072,GST-02234,Welcome Series,email,2026-02-21T01:00:00.000Z,false,false,false,0
CMP-00073,GST-01080,Welcome Series,email,2025-07-05T00:00:00.000Z,false,false,false,0
CMP-00074,GST-00840,Platinum Exclusive,sms,2026-04-16T00:00:00.000Z,true,false,false,0
CMP-00075,GST-01197,Welcome Series,sms,2025-10-07T00:00:00.000Z,false,false,false,0
CMP-00076,GST-00456,Reactivation 30d,email,2025-03-23T00:00:00.000Z,true,false,false,0
CMP-00077,GST-00420,Reactivation 60d,push,2025-07-11T00:00:00.000Z,true,false,false,0
CMP-00078,GST-01473,Tier Upgrade Nudge,email,2025-07-04T00:00:00.000Z,false,false,false,0
CMP-00079,GST-00858,Birthday Reward,email,2025-04-09T00:00:00.000Z,false,false,false,0
CMP-00080,GST-00266,Birthday Reward,email,2025-06-01T00:00:00.000Z,false,false,false,0
CMP-00081,GST-00768,Welcome Series,sms,2025-02-02T01:00:00.000Z,false,false,false,0
CMP-00082,GST-00034,Dining Bundle,sms,2025-08-03T00:00:00.000Z,false,false,false,0
CMP-00083,GST-00664,Reactivation 30d,email,2025-11-13T01:00:00.000Z,false,false,false,0
CMP-00084,GST-00733,Platinum Exclusive,sms,2025-11-05T01:00:00.000Z,true,false,false,0
CMP-00085,GST-01916,Summer Stay Drop,sms,2025-09-04T00:00:00.000Z,true,false,false,0
CMP-00086,GST-02225,Reactivation 30d,sms,2024-12-27T01:00:00.000Z,false,false,false,0
CMP-00087,GST-02022,Reactivation 30d,sms,2025-07-05T00:00:00.000Z,false,false,false,0
CMP-00088,GST-01171,Reactivation 30d,email,2025-03-18T00:00:00.000Z,true,false,false,0
CMP-00089,GST-00220,Spa + Stay Package,sms,2025-12-29T01:00:00.000Z,true,true,false,0
